Id,,len,datetime,open,high,low,close,volume,openinterest,myStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
41,,41,2015-03-04 00:00:00,18716.779296875,18732.66015625,18586.83984375,18703.599609375,143300.0,,myStrategy,41,735661.0,Broker,41,1000000.0,1000000.0,BuySell,41,,,Trades - Net Profit/Loss,41,,
42,,42,2015-03-05 00:00:00,18658.16015625,18767.5,18655.359375,18751.83984375,121900.0,,myStrategy,42,735662.0,Broker,42,1000000.0,1000000.0,BuySell,42,,,Trades - Net Profit/Loss,42,,
43,,43,2015-03-06 00:00:00,18814.849609375,18979.640625,18808.30078125,18971.0,147100.0,,myStrategy,43,735663.0,Broker,43,1000000.0,1000000.0,BuySell,43,,,Trades - Net Profit/Loss,43,,
44,,44,2015-03-09 00:00:00,18872.9609375,18878.150390625,18733.869140625,18790.55078125,118000.0,,myStrategy,44,735666.0,Broker,44,1000000.0,1000000.0,BuySell,44,,,Trades - Net Profit/Loss,44,,
45,,45,2015-03-10 00:00:00,18891.009765625,18924.380859375,18577.060546875,18665.109375,148300.0,,myStrategy,45,735667.0,Broker,45,1000000.0,1000000.0,BuySell,45,,,Trades - Net Profit/Loss,45,,
46,,46,2015-03-11 00:00:00,18604.869140625,18836.9296875,18583.51953125,18723.51953125,130000.0,,myStrategy,46,735668.0,Broker,46,1499750.0,998185.3117070871,BuySell,46,,19119.4836328125,Trades - Net Profit/Loss,46,,
47,,47,2015-03-12 00:00:00,18787.099609375,19008.130859375,18774.419921875,18991.109375,149700.0,,myStrategy,47,735669.0,Broker,47,1499750.0,991017.128591364,BuySell,47,,,Trades - Net Profit/Loss,47,,
48,,48,2015-03-13 00:00:00,19119.580078125,19335.80078125,19042.25,19254.25,227800.0,,myStrategy,48,735670.0,Broker,48,1499750.0,983968.1309210785,BuySell,48,,,Trades - Net Profit/Loss,48,,
49,,49,2015-03-16 00:00:00,19245.380859375,19349.19921875,19226.7109375,19246.060546875,129000.0,,myStrategy,49,735673.0,Broker,49,1499750.0,984187.509574599,BuySell,49,,,Trades - Net Profit/Loss,49,,
50,,50,2015-03-17 00:00:00,19425.890625,19479.890625,19373.390625,19437.0,131800.0,,myStrategy,50,735674.0,Broker,50,468109.4566587726,988786.8234368605,BuySell,50,19082.789765625,,Trades - Net Profit/Loss,50,,-16070.271670613703
51,,51,2015-03-18 00:00:00,19407.759765625,19555.720703125,19389.240234375,19544.48046875,134400.0,,myStrategy,51,735675.0,Broker,51,468109.4566587726,991666.0047636508,BuySell,51,,,Trades - Net Profit/Loss,51,,
52,,52,2015-03-19 00:00:00,19514.640625,19557.169921875,19312.69921875,19476.560546875,151100.0,,myStrategy,52,735676.0,Broker,52,468109.4566587726,989846.5693531631,BuySell,52,,,Trades - Net Profit/Loss,52,,
53,,53,2015-03-20 00:00:00,19479.7109375,19565.439453125,19416.630859375,19560.220703125,137500.0,,myStrategy,53,735677.0,Broker,53,468109.4566587726,992087.6533610087,BuySell,53,,,Trades - Net Profit/Loss,53,,
